timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1614791958136,2343,Spike Test Transaction Controller,201,,Spike Test 1-660,,true,,321,226,375,475,null,0,0,0
1614791958137,2342,Create Bag HTTP Request,201,,Spike Test 1-660,text,true,,321,226,234,334,http://localhost:9090/bag/create,2342,0,86
1614791958136,2342,Spike Test Transaction Controller,201,,Spike Test 1-657,,true,,321,226,374,474,null,0,0,0
1614791958137,2341,Create Bag HTTP Request,201,,Spike Test 1-657,text,true,,321,226,234,334,http://localhost:9090/bag/create,2341,0,86
1614791959176,1302,Spike Test Transaction Controller,201,,Spike Test 1-722,,true,,627,475,374,474,null,0,0,0
1614791959176,19,Create Bag HTTP Request,201,,Spike Test 1-722,text,true,,321,226,110,210,http://localhost:9090/bag/create,19,0,6
1614791959195,1283,Create Item HTTP Request,201,,Spike Test 1-722,text,true,,306,249,234,334,http://localhost:9090/item/create,1283,0,0
1614791959156,1322,Spike Test Transaction Controller,201,,Spike Test 1-721,,true,,627,475,374,474,null,0,0,0
1614791959156,38,Create Bag HTTP Request,201,,Spike Test 1-721,text,true,,321,226,110,210,http://localhost:9090/bag/create,38,0,20
1614791959194,1284,Create Item HTTP Request,201,,Spike Test 1-721,text,true,,306,249,234,334,http://localhost:9090/item/create,1283,0,0
1614791959128,1349,Spike Test Transaction Controller,201,,Spike Test 1-720,,true,,627,475,373,473,null,0,0,0
1614791959154,40,Create Bag HTTP Request,201,,Spike Test 1-720,text,true,,321,226,110,210,http://localhost:9090/bag/create,39,0,15
1614791959194,1283,Create Item HTTP Request,201,,Spike Test 1-720,text,true,,306,249,234,334,http://localhost:9090/item/create,1283,0,0
1614791958125,2352,Spike Test Transaction Controller,201,,Spike Test 1-654,,true,,321,226,373,473,null,0,0,0
1614791958125,2352,Create Bag HTTP Request,201,,Spike Test 1-654,text,true,,321,226,234,334,http://localhost:9090/bag/create,2352,0,96
1614791959182,1276,Spike Test Transaction Controller,200,,Spike Test 1-726,,true,,397656,796,372,472,null,0,0,0
1614791959182,13,Create Bag HTTP Request,201,,Spike Test 1-726,text,true,,321,226,110,210,http://localhost:9090/bag/create,13,0,6
1614791959195,43,Create Item HTTP Request,201,,Spike Test 1-726,text,true,,306,249,110,210,http://localhost:9090/item/create,43,0,0
1614791959238,479,Read Bag HTTP Request,200,,Spike Test 1-726,text,true,,396726,160,195,295,http://localhost:9090/bag/read/1,470,0,0
1614791959718,740,Read Item HTTP Request,200,,Spike Test 1-726,text,true,,303,161,234,334,http://localhost:9090/item/read/1,727,0,0
1614791958114,2342,Spike Test Transaction Controller,201,,Spike Test 1-639,,true,,321,226,372,472,null,0,0,0
1614791958114,2342,Create Bag HTTP Request,201,,Spike Test 1-639,text,true,,321,226,234,334,http://localhost:9090/bag/create,2342,0,77
1614791958117,2340,Spike Test Transaction Controller,201,,Spike Test 1-650,,true,,321,226,372,472,null,0,0,0
1614791958117,2340,Create Bag HTTP Request,201,,Spike Test 1-650,text,true,,321,226,234,334,http://localhost:9090/bag/create,2340,0,80
1614791958107,2349,Spike Test Transaction Controller,201,,Spike Test 1-646,,true,,321,226,370,470,null,0,0,0
1614791958107,2349,Create Bag HTTP Request,201,,Spike Test 1-646,text,true,,321,226,233,333,http://localhost:9090/bag/create,2349,0,81
